container_id,vehicle_key,start_ts,stop_ts,start_dt,stop_dt,duration_ms,num_channels
35,Seat_Leon,1773674229733,1773674355111,2026-03-16T15:17:09.733Z,2026-03-16T15:19:15.111Z,0,11
43,Seat_Leon,1773674225150,1773674355294,2026-03-16T15:17:05.150Z,2026-03-16T15:19:15.294Z,0,11
37,Seat_Leon,1773674230302,1773674355054,2026-03-16T15:17:10.302Z,2026-03-16T15:19:15.054Z,0,11
1,Seat_Leon,1767977439574,1767977552273,2026-01-09T16:50:39.574Z,2026-01-09T16:52:32.273Z,0,11
2,Seat_Leon,1767977441418,1767977552296,2026-01-09T16:50:41.418Z,2026-01-09T16:52:32.296Z,0,11
3,Seat_Leon,1767977443487,1767977552274,2026-01-09T16:50:43.487Z,2026-01-09T16:52:32.274Z,0,11
4,Seat_Leon,1767977442762,1767977552281,2026-01-09T16:50:42.762Z,2026-01-09T16:52:32.281Z,0,11
5,Seat_Leon,1767977441962,1767977552969,2026-01-09T16:50:41.962Z,2026-01-09T16:52:32.969Z,0,11
6,Seat_Leon,1767977442271,1767977553007,2026-01-09T16:50:42.271Z,2026-01-09T16:52:33.007Z,0,11
7,Seat_Leon,1767977441684,1767977552945,2026-01-09T16:50:41.684Z,2026-01-09T16:52:32.945Z,0,11
8,Seat_Leon,1767977443081,1767977552960,2026-01-09T16:50:43.081Z,2026-01-09T16:52:32.960Z,0,11
9,Seat_Leon,1767977441048,1767977553290,2026-01-09T16:50:41.048Z,2026-01-09T16:52:33.290Z,0,11
10,Seat_Leon,1767977442513,1767977553375,2026-01-09T16:50:42.513Z,2026-01-09T16:52:33.375Z,0,11
11,Seat_Leon,1767977439924,1767977553376,2026-01-09T16:50:39.924Z,2026-01-09T16:52:33.376Z,0,11
12,Seat_Leon,1767977440592,1767977553431,2026-01-09T16:50:40.592Z,2026-01-09T16:52:33.431Z,0,11
13,Seat_Leon,1767977440116,1767977553693,2026-01-09T16:50:40.116Z,2026-01-09T16:52:33.693Z,0,11
14,Seat_Leon,1767977440804,1767977553805,2026-01-09T16:50:40.804Z,2026-01-09T16:52:33.805Z,0,11
15,Seat_Leon,1767977440331,1767977553769,2026-01-09T16:50:40.331Z,2026-01-09T16:52:33.769Z,0,11
16,Seat_Leon,1770742370608,1770742522324,2026-02-10T16:52:50.608Z,2026-02-10T16:55:22.324Z,0,11
17,Seat_Leon,1770742368360,1770742522282,2026-02-10T16:52:48.360Z,2026-02-10T16:55:22.282Z,0,11
18,Seat_Leon,1770742372699,1770742522317,2026-02-10T16:52:52.699Z,2026-02-10T16:55:22.317Z,0,11
19,Seat_Leon,1770742371035,1770742522328,2026-02-10T16:52:51.035Z,2026-02-10T16:55:22.328Z,0,11
20,Seat_Leon,1770742373178,1770742522918,2026-02-10T16:52:53.178Z,2026-02-10T16:55:22.918Z,0,11
21,Seat_Leon,1770742374176,1770742522877,2026-02-10T16:52:54.176Z,2026-02-10T16:55:22.877Z,0,11
22,Seat_Leon,1770742369992,1770742522921,2026-02-10T16:52:49.992Z,2026-02-10T16:55:22.921Z,0,11
23,Seat_Leon,1770742369067,1770742522908,2026-02-10T16:52:49.067Z,2026-02-10T16:55:22.908Z,0,11
24,Seat_Leon,1770742367594,1770742523217,2026-02-10T16:52:47.594Z,2026-02-10T16:55:23.217Z,0,11
25,Seat_Leon,1770742369374,1770742523223,2026-02-10T16:52:49.374Z,2026-02-10T16:55:23.223Z,0,11
26,Seat_Leon,1770742373510,1770742523366,2026-02-10T16:52:53.510Z,2026-02-10T16:55:23.366Z,0,11
27,Seat_Leon,1770742368677,1770742523350,2026-02-10T16:52:48.677Z,2026-02-10T16:55:23.350Z,0,11
28,Seat_Leon,1770742373799,1770742523539,2026-02-10T16:52:53.799Z,2026-02-10T16:55:23.539Z,0,11
29,Seat_Leon,1770742371870,1770742523541,2026-02-10T16:52:51.870Z,2026-02-10T16:55:23.541Z,0,11
30,Seat_Leon,1770742371408,1770742523656,2026-02-10T16:52:51.408Z,2026-02-10T16:55:23.656Z,0,11
31,Seat_Leon,1770742369622,1770742523673,2026-02-10T16:52:49.622Z,2026-02-10T16:55:23.673Z,0,11
32,Seat_Leon,1770742371627,1770742523828,2026-02-10T16:52:51.627Z,2026-02-10T16:55:23.828Z,0,11
50,Seat_Leon,1773674227587,1773674355173,2026-03-16T15:17:07.587Z,2026-03-16T15:19:15.173Z,0,11
47,Seat_Leon,1773674228796,1773674355248,2026-03-16T15:17:08.796Z,2026-03-16T15:19:15.248Z,0,11
36,Seat_Leon,1773674226872,1773674355370,2026-03-16T15:17:06.872Z,2026-03-16T15:19:15.370Z,0,11
42,Seat_Leon,1773674229386,1773674355398,2026-03-16T15:17:09.386Z,2026-03-16T15:19:15.398Z,0,11
45,Seat_Leon,1773674225612,1773674355541,2026-03-16T15:17:05.612Z,2026-03-16T15:19:15.541Z,0,11
49,Seat_Leon,1773674228993,1773674355472,2026-03-16T15:17:08.993Z,2026-03-16T15:19:15.472Z,0,11
40,Seat_Leon,1773674227328,1773674355534,2026-03-16T15:17:07.328Z,2026-03-16T15:19:15.534Z,0,11
46,Seat_Leon,1773674228538,1773674355419,2026-03-16T15:17:08.538Z,2026-03-16T15:19:15.419Z,0,11
39,Seat_Leon,1773674226287,1773674355571,2026-03-16T15:17:06.287Z,2026-03-16T15:19:15.571Z,0,11
41,Seat_Leon,1773674228284,1773674355344,2026-03-16T15:17:08.284Z,2026-03-16T15:19:15.344Z,0,11
33,Seat_Leon,1773674228018,1773674355502,2026-03-16T15:17:08.018Z,2026-03-16T15:19:15.502Z,0,11
48,Seat_Leon,1773674226545,1773674355134,2026-03-16T15:17:06.545Z,2026-03-16T15:19:15.134Z,0,11
44,Seat_Leon,1773674225399,1773674355253,2026-03-16T15:17:05.399Z,2026-03-16T15:19:15.253Z,0,11
34,Seat_Leon,1773674226004,1773674355024,2026-03-16T15:17:06.004Z,2026-03-16T15:19:15.024Z,0,11
38,Seat_Leon,1773674230014,1773674355084,2026-03-16T15:17:10.014Z,2026-03-16T15:19:15.084Z,0,11
